Name,Address,phone,fax,speciality,NpiNumber,lbn,dba,authOfficialName,entity,organizationSubpart,enumeratioDate,lastUpdated,identifiers
HIGHLAND URGENT CARE, 231 W MAIN ST UNIT A HILLSBORO OH 45133-1379,937-763-1220,,Urgent Care,1619283173,HIGHLAND URGENT CARE,,DAVID JAMIESON - (MEDICAL DIRECTOR),Organization,No,08/23/2010,08/23/2010 - About 8 years ago,OH License # 35068447
HIGHLAND URGENT CARE & FAMILY MEDICINE LLC, 920 PONCE DE LEON AVE NE ATLANTA GA 30306-4212,404-815-1957,404-815-1954,Urgent Care,1225352701,HIGHLAND URGENT CARE & FAMILY MEDICINE LLC,,NICHOLAS BEAULEIU - (PHYSICIAN),Organization,No,03/26/2010,03/26/2010 - About 8 years ago,GA License # G42176
"HIGHLANDS MEDICAL GROUP, LLC", 7680 GODDARD ST STE 100 COLORADO SPRINGS CO 80920-8233,719-502-9779,,"Multi-Specialty,Body Imaging,Diagnostic Ultrasound,Gynecology,Primary Care,Urgent Care",1801306477,"HIGHLANDS MEDICAL GROUP, LLC",,DENNIS FLINT - (COO),Organization,No,10/09/2017,10/09/2017 - About 6 months ago,n/a
HIGHLANDS PAIN MANAGEMENT, 5950 S WILLOW DR STE 200 GREENWOOD VILLAGE CO 80111-5144,720-515-8002,303-741-2676,"Rehabilitation Unit,Primary Care,Urgent Care",1043759830,HIGHLANDS PAIN MANAGEMENT,,CLYDE JOHNSON - (OWNER),Organization,No,02/14/2017,02/14/2017 - More than a year ago,CO License # CHR.0006922
HIGHLANDS PAIN MANAGEMENT, 5950 S WILLOW DR STE 200 GREENWOOD VILLAGE CO 80111-5144,720-515-8002,303-741-2676,"Medical Specialty,Pain,Physical Therapy,Rehabilitation,Urgent Care",1851830640,HIGHLANDS PAIN MANAGEMENT,,CLYDE JOHNSON - (OWNER),Organization,No,02/14/2017,02/14/2017 - More than a year ago,CO License # CHR.0006922
HIGHLANDS URGENT CARE PLLC, 4500 NE SUNSET BLVD STE D RENTON WA 98059-4054,425-271-1255,425-271-1256,Urgent Care,1548620693,HIGHLANDS URGENT CARE PLLC,,JIANPING SUN - (OWNER/PROVIDER),Organization,No,03/02/2016,03/02/2016 - About 2 years ago,WA License # MD60103131
HIGHSMITH RAINEY EXPRESS CARE LBN CFV EXPRESS CARE BILLING SERVICES LLC, 150 ROBESON ST FAYETTEVILLE NC 28301-5570,910-615-1059,910-615-1058,Urgent Care,1396842514,CFV EXPRESS CARE BILLING SERVICES LLC,HIGHSMITH RAINEY EXPRESS CARE,"KEITH HULLENDER - (DIRECTOR, CORP REVENUE CYCLE SYSTEM)",Organization,No,09/20/2006,07/14/2010 - About 8 years ago,NC Medicaid 89016AJ NC Other 018MP BCBS OF NC NC Other GROUP # DF7443 RAILROAD MEDICARE
"HIGHWAY 53 URGENT HEALTH CARE LBN CENTRAL NORTH ALABAMA HEALTH SERVICES, INC.", 3740 HIGHWAY 53 SUITE Y HUNTSVILLE AL 35806-4722,256-859-0555,256-859-4008,Urgent Care,1639272792,"CENTRAL NORTH ALABAMA HEALTH SERVICES, INC.",HIGHWAY 53 URGENT HEALTH CARE,CARLETON PYFROM - (PRESIDENT/CEO),Organization,No,09/06/2006,12/10/2013 - About 4 years ago,AL Other CE7533 RAILROAD MEDICARE PART B
HILL RD URGENT CARE CENTER LBN PHYSICIAN COVERAGE SERVICES, 1063 W HILL RD STE A FLINT MI 48507-4750,810-233-9901,810-233-9915,Urgent Care,1346482668,PHYSICIAN COVERAGE SERVICES,HILL RD URGENT CARE CENTER,SEIF SAEED - (PHYSICIAN),Organization,Yes,04/01/2009,04/01/2009 - About 9 years ago,MI License # 4301056750
HILLCREST URGENT CARE, 2337 WINTERHAVEN LN WINSTON-SALEM NC 27103-6792,336-760-8999,336-659-7027,Urgent Care,1932483666,HILLCREST URGENT CARE,,SHELIA WINFREY - (BILLING MANAGER),Organization,No,09/29/2011,09/29/2011 - About 7 years ago,n/a
"HILLCREST URGENT CARE LBN SOUZA FAMILY HEALTH & URGENT CARE CENTER, LLC", 1110 HILLCREST PKWY DUBLIN GA 31021-3687,478-304-1268,,Urgent Care,1558525931,"SOUZA FAMILY HEALTH & URGENT CARE CENTER, LLC",HILLCREST URGENT CARE,JOHN SOUZA - (PRESIDENT),Organization,No,07/15/2008,04/08/2014 - About 4 years ago,n/a
HILLIARD STATION URGENT CARE LLC, 5263 NIKE STATION WAY HILLIARD OH 43026,614-876-2100,614-876-2120,Urgent Care,1639312762,HILLIARD STATION URGENT CARE LLC,,MICHAEL BOURLAND - (CFO),Organization,No,04/20/2009,08/28/2014 - About 4 years ago,OH Medicaid 2971673
HILLSBORO URGENT CARE AND OCCUPATIONAL HEALTH, 434 S 1ST AVE STE 300 HILLSBORO OR 97123-3982,503-648-8210,506-648-8283,"Family Medicine,Aerospace Medicine,Occupational Medicine,Primary Care,Urgent Care",1255468179,HILLSBORO URGENT CARE AND OCCUPATIONAL HEALTH,,BRYAN MILLER - (OWNER),Organization,No,02/27/2007,11/27/2007 - About 10 years ago,OR License # 18724 OR Medicaid 029029
HILLSIDE URGENT CARE PLLC, 16403 HILLSIDE AVE JAMAICA NY 11432-4140,718-554-8072,718-554-8539,Urgent Care,1407240583,HILLSIDE URGENT CARE PLLC,,MUHAMMAD MOMEN - (ADMINISTRATOR),Organization,No,03/26/2015,06/23/2015 - About 3 years ago,n/a
"HILLTOP MEDICAL CLINIC LBN REDDING PRIMARY CARE MEDICAL GROUP, INC", 1093 HILLTOP DRIVE REDDING CA 96003-3811,530-221-1565,530-221-3912,"Urgent Care,Family Medicine,Internal Medicine",1316966302,"REDDING PRIMARY CARE MEDICAL GROUP, INC",HILLTOP MEDICAL CLINIC,LINDA FULLERTON - (CO-ADMINISTRATOR),Organization,Yes,07/19/2006,09/05/2012 - About 6 years ago,CA License # A86612 CA License # BUSS LIC #9113 CA License # G42236 CA License # G63898 CA License # G70179 CA Other 05D0618250 CLIA #
"HILO URGENT CARE CENTER LBN HILO URGENT CARE CENTER, LLC", 45 MOHOULI ST HILO HI 96720-4145,808-961-0058,808-969-3728,Urgent Care,1487750089,"HILO URGENT CARE CENTER, LLC",HILO URGENT CARE CENTER,EDWARD GUTTELING - (OWNER),Organization,No,09/15/2006,07/17/2017 - About 9 months ago,HI Other 55465 GROUP PIN NUMBER
"HIPPOCARE, INC", 4504 4TH ST NW ALBUQUERQUE NM 87107-3956,505-433-4493,505-433-5271,Urgent Care,1255784658,"HIPPOCARE, INC",,SANJAY KHOLWADWALA - (MEDICAL DIRECTOR),Organization,No,07/20/2016,07/20/2016 - More than a year ago,NM License # 97-288
HMA BARTOW-SOLANTIC JOINT VENTURE LLC, 3030 HARDEN BLVD SUITE 102 LAKELAND FL 33803-7952,904-223-2330,904-425-4356,Urgent Care,1063721744,HMA BARTOW-SOLANTIC JOINT VENTURE LLC,,KAREN BOWLING - (CEO),Organization,No,09/29/2010,09/29/2010 - About 8 years ago,n/a
"HMA/SOLANTIC JOINT VENTURE, LLC", 1820 58TH AVE. UNIT 110 VERO BEACH FL 32966,772-257-3200,772-257-0187,Urgent Care,1689812109,"HMA/SOLANTIC JOINT VENTURE, LLC",,DEBORAH MAYHEW - (DIRECTOR OF REVENUE CYCLE),Organization,No,01/22/2009,06/18/2012 - About 6 years ago,n/a
"HMC MEDICAL CENTER, LLC", 150 E HARMON AVE LAS VEGAS NV 89109-4533,702-796-1116,702-692-4740,Urgent Care,1194754358,"HMC MEDICAL CENTER, LLC",,RHONDA HAWKINS - (OFFICE MANAGER),Organization,Not specified,07/01/2006,07/08/2007 - About 11 years ago,n/a
HNOS FERRER MEDICAL CENTER INC. LBN HNOS FERRER MEDICAL CENTER INC., 316 CALLE JOSE OLMO ARECIBO PR 00612-4875,787-680-8948,,Urgent Care,1285087395,HNOS FERRER MEDICAL CENTER INC.,HNOS FERRER MEDICAL CENTER INC.,YANIRA FERRER - (PRESIDENT),Organization,No,07/13/2016,07/13/2016 - More than a year ago,n/a
HOAG MEDICAL GROUP, 26522 LA ALAMEDA STE 120 MISSION VIEJO CA 92691-6330,949-282-1618,,Urgent Care,1235517806,HOAG MEDICAL GROUP,,SUZI COOPER - (DIRECTOR OF CLINICAL OPERATIONS),Organization,No,05/14/2015,05/14/2015 - About 3 years ago,n/a
HOAG URGENT CARE - ANAHEIM HILLS INC, 5630 E SANTA ANA CANYON RD ANAHEIM CA 92807-3122,714-389-5700,714-389-6973,"Urgent Care,Emergency Care,Occupational Medicine,Primary Care",1639462666,HOAG URGENT CARE - ANAHEIM HILLS INC,,ROBERT AMSTER - (OWNER),Organization,No,05/24/2011,09/10/2012 - About 6 years ago,CA License # G34265
HOAG URGENT CARE - HUNTINGTON HARBOUR, 5355 WARNER AVE STE 102 HUNTINGTON BEACH CA 92649-4097,714-389-5700,714-389-6973,"Urgent Care,Emergency Care,Primary Care",1760770747,HOAG URGENT CARE - HUNTINGTON HARBOUR,,ROBERT AMSTER - (OWNER),Organization,No,07/12/2011,11/28/2011 - About 6 years ago,CA License # G34265
"HOAG URGENT CARE - ORANGE, INC", 7630 E CHAPMAN AVE STE B ORANGE CA 92869-8536,714-389-5700,714-389-6973,"Urgent Care,Occupational Medicine,Primary Care",1083916191,"HOAG URGENT CARE - ORANGE, INC",,ROBERT AMSTER - (OWNER),Organization,No,11/22/2010,02/22/2011 - About 7 years ago,CA License # G34265
HOAG URGENT CARE - RSM INC, 18231 IRVINE BLVD STE 204 TUSTIN CA 92780-3432,714-389-5700,714-389-6973,"Urgent Care,Emergency Care,Multi-Specialty,Occupational Medicine",1043504103,HOAG URGENT CARE - RSM INC,,ROBERT AMSTER - (OWNER),Organization,No,06/07/2011,06/07/2011 - About 7 years ago,CA License # G34265
HOAG URGENT CARE TUSTIN INC, 2560 BRYAN AVE SUITE A TUSTIN CA 92782-8922,714-389-3500,714-389-6500,"Urgent Care,Occupational Medicine,Primary Care",1346559879,HOAG URGENT CARE TUSTIN INC,,JENNIFER AMSTER - (CHIEF OPERATING OFFICER),Organization,No,10/01/2010,03/01/2011 - About 7 years ago,CA License # G34265
HOCKESSIN WALK IN MEDICAL, 5936 LIMESTONE RD STE 301B HOCKESSIN DE 19707-8932,302-235-8808,302-235-8815,Urgent Care,1083768766,HOCKESSIN WALK IN MEDICAL,,YOLANDA GARNER - (OFFICE REP),Organization,No,01/22/2007,10/11/2017 - About 6 months ago,DE Other ========= TAX ID DE Other ========= TAX ID NUMBER
"HOKE EXPRESS CARE LBN HOKE HEALTHCARE, LLC", 300 MEDICAL PAVILION DR SUITE 150 RAEFORD NC 28376-0030,910-904-8020,910-615-5171,Urgent Care,1730439654,"HOKE HEALTHCARE, LLC",HOKE EXPRESS CARE,JOSEPH FISER - (EXECUTIVE DIRECTOR),Organization,No,09/18/2012,10/20/2014 - About 3 years ago,n/a
"HOLA DOCTOR, PLLC", 1260 W SPRING VALLEY RD RICHARDSON TX 75080-6720,214-570-9400,972-231-9108,Urgent Care,1184981862,"HOLA DOCTOR, PLLC",,LYDIA NJAMFA - (OWNER),Organization,No,04/18/2012,10/24/2012 - About 5 years ago,TX License # L0884
"HOLLYWOOD DIAGNOSTICS CENTER, INC", 4224 HOLLYWOOD BLVD HOLLYWOOD FL 33021-6633,954-966-3600,954-967-1962,"Urgent Care,Clinic/Center",1295166700,"HOLLYWOOD DIAGNOSTICS CENTER, INC",,ANGEL SOTO - (PRESIDENT),Organization,No,12/09/2013,12/09/2013 - About 4 years ago,n/a
HOLLYWOOD MEDICAL CLINIC LLC, 750 S FEDERAL HWY HOLLYWOOD FL 33020-5424,954-342-8800,954-342-8100,Urgent Care,1770894453,HOLLYWOOD MEDICAL CLINIC LLC,,SANDRO BACCHELLI - (MBR),Organization,No,06/28/2010,12/01/2011 - About 6 years ago,FL License # L02000023475
HOLLYWOOD WALK IN CLINIC, 6430 SELMA AVE LOS ANGELES CA 90028-7311,323-848-4522,,Urgent Care,1447592779,HOLLYWOOD WALK IN CLINIC,,DEONZA THYMES - (SUPERVISING PHYSICIAN),Organization,No,03/25/2013,03/25/2013 - About 5 years ago,CA License # 22876
"HOLLYWOOD WALK-IN CLINIC LBN THE BERKELEY CLINIC, INC", 6430 SELMA AVE LOS ANGELES CA 90028-7311,323-848-4522,,Urgent Care,1326344938,"THE BERKELEY CLINIC, INC",HOLLYWOOD WALK-IN CLINIC,RITO HILL - (PRESIDENT),Organization,No,01/28/2011,01/28/2011 - About 7 years ago,CA License # 39290
"HOLY CROSS CLINIC SERVICES LBN HOLY CROSS HOSPITAL, INC", 1115 S FEDERAL HWY FORT LAUDERDALE FL 33316-1256,954-764-6646,954-764-6234,"Urgent Care,Emergency Medical Services,Family Medicine,Internal Medicine,Pediatrics",1710319413,"HOLY CROSS HOSPITAL, INC",HOLY CROSS CLINIC SERVICES,KENT MATHISEN - (EXECUTIVE DIRECTOR),Organization,Yes,08/05/2013,10/01/2013 - About 5 years ago,FL Medicaid 010018800
"HOLY CROSS HOSPITAL, INC.", 1799 S. FEDERAL HIGHWAY BOCA RATON FL 33432,561-347-7933,561-347-7923,"Urgent Care,Occupational Medicine",1376953125,"HOLY CROSS HOSPITAL, INC.",,PATRICK TAYLOR - (PRESIDENT & CEO),Organization,Yes,05/02/2014,05/02/2014 - About 4 years ago,FL Medicaid 010018800
"HOLY CROSS HOSPITAL, INC.", 1115 S. FEDERAL HIGHWAY FORT LAUDERDALE FL 33316,954-229-8672,954-489-2846,"Urgent Care,Body Imaging,Diagnostic Radiology",1386985190,"HOLY CROSS HOSPITAL, INC.",,PATRICK TAYLOR - (PRESIDENT & CEO),Organization,No,03/05/2013,03/05/2013 - About 5 years ago,FL Medicaid 010018800
"HOLY CROSS URGENT CARE, INC.", 3601 W COMMERCIAL BLVD SUITE 19 FORT LAUDERDALE FL 33309-3300,954-530-2653,954-533-2933,Urgent Care,1306261680,"HOLY CROSS URGENT CARE, INC.",,MOULTON KEANE - (MEDICAL DOCTOR),Organization,No,02/24/2014,02/24/2014 - About 4 years ago,FL License # ME42167
"HOLY CROSS URGENT CARE, INC", 4864 SANTA MONICA BLVD LOS ANGELES CA 90029-2634,323-661-2700,,Urgent Care,1750894879,"HOLY CROSS URGENT CARE, INC",,MANUK CHULYAN - (CEO),Organization,No,11/11/2017,11/11/2017 - About 5 months ago,n/a
HOMESTEAD URGENT CARE, 909 N KROME AVE HOMESTEAD FL 33030-4408,786-243-4100,786-243-4111,Urgent Care,1871611657,HOMESTEAD URGENT CARE,,SONIA TALARICO - (PRESIDENT),Organization,No,03/27/2007,08/08/2012 - About 6 years ago,FL License # 658757-1
"HOMETOWN EXPRESS CARE, P.C.", 228 STARLYN AVE NEW ALBANY MS 38652-2428,662-534-1888,662-534-6007,Urgent Care,1730390618,"HOMETOWN EXPRESS CARE, P.C.",,ANGELA CAMPBELL - (C.F.N.P.),Organization,Not specified,05/24/2007,07/08/2007 - About 11 years ago,MS License # R758732
"HOMETOWN URGENT CARE LBN HOMETOWN URGENT CARE OF MICHIGAN, P.C.", 7483 SOLUTIONS CTR CHICAGO IL 60677-7004,614-505-7633,614-847-1106,Urgent Care,1790030385,"HOMETOWN URGENT CARE OF MICHIGAN, P.C.",HOMETOWN URGENT CARE,MANOJ KUMAR - (CEO),Organization,No,07/19/2012,10/14/2015 - About 2 years ago,MI Medicaid 1790030385
HOMETOWN URGENT CARE LLC, 1375 FLOWERING DOGWOOD LN STE A DYERSBURG TN 38024-2948,731-325-5678,731-325-5679,"Urgent Care,Family Health",1669714606,HOMETOWN URGENT CARE LLC,,TRACIE WOODWARD - (OWNER),Organization,No,03/16/2013,02/27/2018 - About 1 months ago,SC License # 18982 TN License # 17346
HOMETOWN URGENT CARE OF DYERSBURG PLLC, 2550 PARR AVE DYERSBURG TN 38024-2033,731-325-5678,,Urgent Care,1003318593,HOMETOWN URGENT CARE OF DYERSBURG PLLC,,MOHSIN ALHADDAD - (PROVIDER),Organization,No,03/01/2018,03/01/2018 - About 1 months ago,n/a
"HOMETOWN URGENT CARE LBN URGENT CARE SPECIALISTS, LLC", 2400 CORPORATE EXCHANGE DR SUITE 102 COLUMBUS OH 43231-7605,614-505-7633,614-847-1106,Urgent Care,1114957123,"URGENT CARE SPECIALISTS, LLC",HOMETOWN URGENT CARE,MANOJ KUMAR - (CHIEF EXECUTIVE OFFICER),Organization,No,07/04/2006,09/25/2015 - About 3 years ago,OH Medicaid 2630700
HOOVER URGENT CARE OF WARREN PLLC, 26000 HOOVER RD WARREN MI 48089-1167,586-872-2288,586-872-2242,"Urgent Care,Family Medicine",1821351610,HOOVER URGENT CARE OF WARREN PLLC,,NIDAL HAMMOUD - (OWNER),Organization,No,06/18/2012,07/18/2012 - About 6 years ago,MI License # 4301084551
HOPE ORTHOPEDICS OF OREGON - URGENT CARE LBN WILLAMETTE ORTHOPEDIC GROUP LLC, 1600 STATE ST SALEM OR 97301-4257,503-540-6300,503-540-6404,"Sports Medicine,Adult Reconstructive Orthopaedic Surgery,Hand Surgery,Orthopaedic Trauma,Urgent Care",1588955314,WILLAMETTE ORTHOPEDIC GROUP LLC,HOPE ORTHOPEDICS OF OREGON - URGENT CARE,DAVID SCHLACTUS - (CEO),Organization,No,04/27/2011,05/16/2011 - About 7 years ago,OR Medicaid 278228
HOPE PRIMARY AND URGENT CARE OF BIG RAPIDS PLLC, 201 LINDEN STREET BIG RAPIDS MI 49307,231-796-2801,231-796-0042,Urgent Care,1326553959,HOPE PRIMARY AND URGENT CARE OF BIG RAPIDS PLLC,,PATTY HORNE - (MANAGER),Organization,No,12/05/2017,12/05/2017 - About 4 months ago,n/a
HOPE PRIMARY AND URGENT CARE OF REED CITY PLLC, 4361 200TH AVE REED CITY MI 49677,231-832-3930,231-832-2456,Urgent Care,1467967950,HOPE PRIMARY AND URGENT CARE OF REED CITY PLLC,,PATTY HORNE - (MANAGER),Organization,No,12/06/2017,12/06/2017 - About 4 months ago,n/a
HOPE URGENT CARE LBN HOPE MEDICOES PLLC, 9171 LAPEER RD SUITE 100 DAVISON MI 48423-3617,810-412-5590,810-412-5591,Urgent Care,1164669453,HOPE MEDICOES PLLC,HOPE URGENT CARE,NUSRAT JAVAID - (OWNER MEDICAL DIRECTOR PHYSICIAN),Organization,No,01/08/2009,10/28/2009 - About 8 years ago,MI License # 4301056997
HOPE URGENT CARE JACKSON, 200 SUMMIT AVE JACKSON MI 49201-2464,810-412-5590,810-412-5593,Urgent Care,1699149773,HOPE URGENT CARE JACKSON,,NUSRAT JAVAID - (MEDICAL DIRECTOR),Organization,No,11/30/2015,12/01/2015 - About 2 years ago,n/a
HOPE URGENT CARE LATINO PLLC, 503 W GRAND BLVD DETROIT MI 48216-2200,810-412-5590,810-412-5593,Urgent Care,1497020424,HOPE URGENT CARE LATINO PLLC,,NUSRAT JAVAID - (PRESIDENT),Organization,No,03/08/2012,03/08/2012 - About 6 years ago,n/a
HOPE URGENT CARE MIDLAND PLLC, 222 N SAGINAW RD MIDLAND MI 48640-3330,810-412-5590,810-412-5593,Urgent Care,1568721421,HOPE URGENT CARE MIDLAND PLLC,,NUSRAT JAVAID - (MEDICAL DIRECTOR),Organization,No,05/14/2012,05/14/2012 - About 6 years ago,n/a
HOPE URGENT CARE MIDLAND PLLC, 222 N SAGINAW RD MIDLAND MI 48640-3330,810-412-5590,810-412-5593,Urgent Care,1609142371,HOPE URGENT CARE MIDLAND PLLC,,NUSRAT JAVAID - (MEDICAL DIRECTOR),Organization,No,03/28/2012,03/28/2012 - About 6 years ago,n/a
HOPE URGENT CARE ROMULUS PLLC, 9340 WAYNE RD ROMULUS MI 48174-1569,586-744-6660,,Urgent Care,1265754683,HOPE URGENT CARE ROMULUS PLLC,,NUSRAT JAVAID - (MEDICAL DIRECTOR),Organization,No,02/26/2010,01/06/2011 - About 7 years ago,n/a
HOPE URGENT CARE ROMULUS PLLC, 9340 WAYNE RD ROMULUS MI 48174-1569,734-992-3499,734-992-3373,Urgent Care,1386952075,HOPE URGENT CARE ROMULUS PLLC,,PATTY HORN - (CREDENTIALING SPECIALIST),Organization,No,09/16/2010,01/04/2011 - About 7 years ago,MI License # 4301056997
HOPKINS MINOR EMERGENCY CENTER LLC, 106 HODGE STREET SULPHUR SPRINGS TX 75482-4719,903-348-9542,903-335-8739,Urgent Care,1033405428,HOPKINS MINOR EMERGENCY CENTER LLC,,ROY MCGAHEE - (PRESIDENT),Organization,No,06/23/2011,10/24/2011 - About 6 years ago,n/a
HORIZON PEDIATRIC NIGHT CLINIC, 836 E REDD RD EL PASO TX 79912-7221,915-833-8444,,"Urgent Care,Primary Care",1225382609,HORIZON PEDIATRIC NIGHT CLINIC,,ESPIRIDION MENDEZ - (OWNER/PARTNER),Organization,No,11/06/2012,11/06/2012 - About 5 years ago,n/a
"HORIZON URGENT CARE, LLC", 19255 PARK ROW SUITE 105 HOUSTON TX 77084-7309,832-742-6012,281-668-6392,Urgent Care,1386033413,"HORIZON URGENT CARE, LLC",,SYED ZAIDI - (OWNER),Organization,No,01/13/2015,01/13/2015 - About 3 years ago,n/a
HORIZON URGENT CARE LLC, 6000 HILLANDALE DR SUITE115 LITHONIA GA 30058-4840,770-329-6318,,Urgent Care,1801334503,HORIZON URGENT CARE LLC,,NAVIN TANDON - (MEDICAL DIRECTOR),Organization,No,02/02/2017,02/02/2017 - More than a year ago,n/a
HOSPITAL GENERAL DE CASTANER INC., 49 CALLE GUILLERMO ESTEVES PR 141 JAYUYA PR 00664,787-829-5010,,Urgent Care,1073040689,HOSPITAL GENERAL DE CASTANER INC.,,DOMINGO MONROIG - (EXECUTIVE DIRECTOR),Organization,Yes,05/12/2017,05/12/2017 - About 11 months ago,n/a
HOSPITAL GENERAL DE CASTANER INC, ROAD 135 KM 64.2 CASTANER CASTANER PR 00631-1003,787-829-5010,787-829-4668,Urgent Care,1255752325,HOSPITAL GENERAL DE CASTANER INC,,DOMINGO MONROIG - (EXECUTIVE DIRECTOR),Organization,Yes,12/17/2013,12/17/2013 - About 4 years ago,n/a
HOSPITAL HERMANOS MELENDEZ, CARRETERA #2 KM 11.7 BAYAMON PR 00959,787-798-1597,787-786-9244,Urgent Care,1598981482,HOSPITAL HERMANOS MELENDEZ,,HECTOR CENTENO - (FINANCE DIRECTOR),Organization,Not specified,04/18/2007,07/08/2007 - About 11 years ago,PR License # 35
HOUMA URGENT CARE LLC, 131 CORPORATE DRIVE HOUMA LA 70360,985-580-9990,,Urgent Care,1700894219,HOUMA URGENT CARE LLC,,KOTIVEERAIAH SANHISETTY - (DIRECTOR),Organization,Not specified,08/03/2006,07/08/2007 - About 11 years ago,n/a
HOUSTON CARENOW URGENT CARE PLLC, 5510 W GRAND PKWY S RICHMOND TX 77406-5879,615-372-3359,,Urgent Care,1093251860,HOUSTON CARENOW URGENT CARE PLLC,,MATTHEW ROBERTSON - (VP PHYSICIAN SERVICES),Organization,No,01/17/2017,06/13/2017 - About 10 months ago,n/a
HOUSTON NORTH MEDICAL SERVICES, 12704 NORTH FWY HOUSTON TX 77060-1227,281-876-7246,281-876-7247,Urgent Care,1871764894,HOUSTON NORTH MEDICAL SERVICES,,ROSA FUENTES - (M.D),Organization,No,03/18/2008,12/11/2008 - About 9 years ago,n/a
"HOUSTON NORTHWEST MEDICAL CENTER ACUTE LBN HOUSTON NORTHWEST OPERATING COMPANY, LLC", 710 CYPRESS CREEK PKWY HOUSTON TX 77090-3402,281-440-2105,,"General Acute Care Hospital,Urgent Care",1740450121,"HOUSTON NORTHWEST OPERATING COMPANY, LLC",HOUSTON NORTHWEST MEDICAL CENTER ACUTE,"CRAIG ARMIN - (VP OF GOVT PROGRAMS, TENET)",Organization,No,03/03/2008,04/28/2016 - More than a year ago,TX License # 000229
HOUSTON URGENT CARE LBN HUC - BELLAIRE PLLC, 13977 WESTHEIMER RD SUITE D HOUSTON TX 77077-5358,281-558-4300,281-558-4303,"Urgent Care,Primary Care",1043488497,HUC - BELLAIRE PLLC,HOUSTON URGENT CARE,VINH LAM - (OWNER),Organization,No,02/19/2008,02/19/2008 - About 10 years ago,TX License # M8111
HOWELL HEALTHCARE, 3180 WILLOW LN STE 114 THOUSAND OAKS CA 91361-4984,805-373-1785,805-379-2424,Urgent Care,1376807644,HOWELL HEALTHCARE,,MICHAEL HOWELL - (DIRECTOR),Organization,No,07/01/2012,07/09/2013 - About 5 years ago,n/a
HOWELL HEALTHCARE INC. DBA ADULT & PEDIATRIC URGENT CARE LBN HOWELL HEALTHCARE INC. DBA ADULT & PEDIATRIC URGENT CARE,  3180 WILLOW LANE SUITE 114 THOUSAND OAKS CA 91361,805-373-1785,805-379-2424,Urgent Care,1972849636,HOWELL HEALTHCARE INC. DBA ADULT & PEDIATRIC URGENT CARE,HOWELL HEALTHCARE INC. DBA ADULT & PEDIATRIC URGENT CARE,MICHAEL HOWELL - (DIRECTOR),Organization,No,12/27/2012,12/27/2012 - About 5 years ago,n/a
"HP LONG URGENT CARE CLINIC-ALEXANDRIA LBN RAPIDES HEALTHCARE SYSTEM, LLC", 105 N 3RD ST ALEXANDRIA LA 71301-8582,318-769-8160,318-769-8188,Urgent Care,1477970168,"RAPIDES HEALTHCARE SYSTEM, LLC",HP LONG URGENT CARE CLINIC-ALEXANDRIA,JASON COBB - (C.E.O./ADMINISTRATOR),Organization,Yes,03/20/2014,03/20/2014 - About 4 years ago,n/a
HP MEDICAL CARE PC, 11620 QUEENS BLVD STE. B FOREST HILLS NY 11375-7055,718-401-1510,866-716-6078,Urgent Care,1356731202,HP MEDICAL CARE PC,,KEN POLONSKY - (MANAGER),Organization,No,01/30/2015,01/30/2015 - About 3 years ago,n/a
HUBBARD IMMEDIATE CARE LBN FORUM HEALTH SERVICES CO., 730 N MAIN ST HUBBARD OH 44425-1126,330-884-1500,330-884-1501,Urgent Care,1497986319,FORUM HEALTH SERVICES CO.,HUBBARD IMMEDIATE CARE,MICHAEL SEELMAN - (VICE PRESIDENT/COO FORUM HEALTH),Organization,No,07/28/2009,07/28/2009 - About 9 years ago,n/a
"HUBER HEIGHTS URGENT CARE LBN ALLIANCE PHYSICIANS, INC.", 8701 OLD TROY PIKE HUBER HEIGHTS OH 45424-1066,937-558-3300,937-558-3313,"Emergency Medicine,Family Medicine,Internal Medicine,Urgent Care",1689077364,"ALLIANCE PHYSICIANS, INC.",HUBER HEIGHTS URGENT CARE,TIMOTHY KO - (CFO),Organization,No,10/08/2014,01/29/2015 - About 3 years ago,n/a
HUBER HEIGHTS URGENT CARE LBN HUBER HEIGHTS HEALTH SERVICES INC, 8701 OLD TROY PIKE HUBER HEIGHTS OH 45424-1066,937-558-3309,937-558-3313,"Urgent Care,Health Service",1942271713,HUBER HEIGHTS HEALTH SERVICES INC,HUBER HEIGHTS URGENT CARE,TIMOTHY KO - (CFO),Organization,No,01/30/2006,11/08/2013 - About 4 years ago,OH Medicaid 0556689
HUBERT HUMPHREY MEDICAL CENTER, 5850 S MAIN ST LOS ANGELES CA 90003-1215,323-846-4265,,Urgent Care,1891976247,HUBERT HUMPHREY MEDICAL CENTER,,NARAI BOWEN - (PHYSICIAN ASSISTANT),Organization,No,11/14/2007,11/14/2007 - About 10 years ago,CA License # PA19172
HUDSON HEADWATERS HEALTH NETWORK, 100 BROAD ST GLENS FALLS NY 12801-4349,518-792-2223,518-792-8231,"Federally Qualified Health Center (FQHC),Family Medicine,Internal Medicine,Nurse Practitioner,Pediatrics,Physician Assistant,Podiatrist,Social Worker,Urgent Care",1851305577,HUDSON HEADWATERS HEALTH NETWORK,,CHRISTOPHER TOURNIER - (CFO),Organization,Yes,07/28/2006,03/23/2017 - More than a year ago,NY Medicaid 03289874
